speaker,text,labels,wav.file
Anthony M. Kennedy,Insofar as the rule that we -- that's because in this case you don't think there's a reasonable suspicion to begin with.,skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__APRIL_21_2009_2288-943_2296-982.wav
Anthony M. Kennedy,And is that true even if the State does not have a procedure for reopening for late claims?,skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__MARCH_22_2006_3369-988_3377-255.wav
Anthony M. Kennedy,"Now... now, if you want to say there's a more wooden rule and a... and a more iron rule here that was prejudicial, I think that's something else.",skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__FEBRUARY_22_2006_807-838_813-478.wav
Anthony M. Kennedy,"Because it was a specific provision on that point in Wissner, and I -- or the Court so read it.",neutral,Anthony_M_Kennedy/ORAL_ARGUMENT__APRIL_22_2013_2575-398_2583-169.wav
Anthony M. Kennedy,"In your view, if the officer is just looking for the man in the gray overcoat and he stops someone on the street and says, have you seen a man with a gray overcoat, and the person says, well, I saw something like that, can he just suddenly spin him around and pat -- and pat that person?",skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__DECEMBER_09_2008_164-622_183-667.wav
Anthony M. Kennedy,And... or is it just because of the assumption that the conviction might stand anyway.,skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__NOVEMBER_06_2006_687-315_694-141.wav
Anthony M. Kennedy,"It seems to me that that's a particular vice of the statute, and I want to know if there is a formulation that's more precise than the general attack that you made... that you make.",neutral,Anthony_M_Kennedy/ORAL_ARGUMENT__APRIL_22_2008_1156-013_1167-947.wav
Anthony M. Kennedy,"Well, I thought it was your position that whatever might be the outcome of these questions, the Sixth Circuit didn't think that that was the right analysis, that the Sixth Circuit didn't think the result could be reached without imposing the presumption of your argument, and so instructed the district court.",skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__NOVEMBER_10_2014_1318-444_1334-12.wav
Anthony M. Kennedy,"Oh, that -- if we're looking at Crooker, I just read the words """"would there be circumvention"""", and it seemed to me in this case the Navy has plans and they use those plans to store munitions safely, and the risk that they worry about is someone will get ahold of the plans and use the positions of those munitions in order to make them unsafe, for example, blowing them up.",skeptical,Anthony_M_Kennedy/ORAL_ARGUMENT__DECEMBER_01_2010_1341-818_1367-802.wav
Anthony M. Kennedy,"So your threshold one is the only safeguard you have against Justice Scalia's concern against endless litigation, or does your threshold two do the same thing.",neutral,Anthony_M_Kennedy/ORAL_ARGUMENT__JANUARY_07_2008_3107-006_3116-517.wav
