speaker,text,labels,wav.file
Antonin Scalia,What if -- what if Arizona decided all four would be selected by the majority party?,neutral,Antonin_Scalia/ORAL_ARGUMENT__MARCH_02_2015_2856-55_2863-23.wav
Antonin Scalia,"""""up to 33 percent. """"",skeptical,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_08_2013_871-693_875-662.wav
Antonin Scalia,"Inasmuch as the first interpretation was not adopted in 1990, but it was adopted under the same language that he is now interpreting in 1980, right?",neutral,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_20_2010_628-06_642-737.wav
Antonin Scalia,How do you decide whether an insurance premium is for work that was done within the last 180 days?,neutral,Antonin_Scalia/ORAL_ARGUMENT__MARCH_21_2006_478-693_487-716.wav
Antonin Scalia,"without the """"otherwise"""", then I don't think you'd have any argument that you have to somehow look to the degree of injury, the... the manner of injury that the four enumerated crimes have.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_15_2008_562-56_575-82.wav
Antonin Scalia,"The issue is whether you can read in exceptions unnecessarily when the absurdity in question doesn't flow inevitably from the statute, when the statute can be interpreted another way that would not produce the absurdity.",neutral,Antonin_Scalia/ORAL_ARGUMENT__FEBRUARY_24_2014_4156-996_4175-208.wav
Antonin Scalia,"Do you know any other statutes offhand -- I can't think of any, but maybe you know some -- in which you can get money out of the United States but don't have to go through the Court of Federal Claims and the Federal circuit?",neutral,Antonin_Scalia/ORAL_ARGUMENT__OCTOBER_02_2012_1865-321_1876-562.wav
Antonin Scalia,"Those are different claims, as you define """"claim"""", anyway.",,Antonin_Scalia/ORAL_ARGUMENT__NOVEMBER_01_2010_2882-636_2887-438.wav
Antonin Scalia,"If that were the case, then it washes out and you have to challenge it right away.",neutral,Antonin_Scalia/ORAL_ARGUMENT__NOVEMBER_27_2006_590-349_596-936.wav
Antonin Scalia,"Why doesn't it solve your... the problem that you're obviously wrestling with, if... if we simply said there is a right to counsel, but it doesn't attach until there's a significant stage of the prosecution which then follows?",skeptical,Antonin_Scalia/ORAL_ARGUMENT__MARCH_17_2008_1162-172_1177-227.wav
Antonin Scalia,Now you're arguing a totally different purpose: It makes it easier for the physician to cut off approaches by drug companies that want to sell drugs.,skeptical,Antonin_Scalia/ORAL_ARGUMENT__APRIL_26_2011_568-344_578-616.wav
Antonin Scalia,"They had a 5-second delay at the time these things occurred, didn't they?",,Antonin_Scalia/ORAL_ARGUMENT__NOVEMBER_04_2008_1162-915_1166-476.wav
Antonin Scalia,"Surely that sentence means it shall be revised to include a warning as soon, as soon as there is reasonable evidence of an association of a serious hazard that the FDA has not considered.",neutral,Antonin_Scalia/ORAL_ARGUMENT__NOVEMBER_03_2008_1738-811_1751-619.wav
Antonin Scalia,The plan being applied here is not the Texas legislature's plan; it's the plan -- a remedial plan adopted by Federal judges.,skeptical,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_09_2012_1891-292_1900-998.wav
Antonin Scalia,"But not... but not if the President just gives the money out of a general appropriation, authorizing him to give money to people who are helping in the programs that the Faith-Based Initiative was... was designed to help?",neutral,Antonin_Scalia/ORAL_ARGUMENT__FEBRUARY_28_2007_786-015_799-291.wav
Antonin Scalia,I don't think they say that the power to undesignate disappears.,skeptical,Antonin_Scalia/ORAL_ARGUMENT__APRIL_20_2009_3239-803_3245-224.wav
Antonin Scalia,"I mean, gee, you give that to me even when -- even when I'm in dissent.",,Antonin_Scalia/ORAL_ARGUMENT__DECEMBER_03_2014_1090-52_1096-171.wav
Antonin Scalia,"The rationale for our decision would be (h)(1)(D) alone, and all the other discussion would be perfectly gratuitous, because we're going to set this individual free anyway.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__FEBRUARY_22_2011_828-873_842-363.wav
Antonin Scalia,Does -- does -- does the State allow State employees to engage in political activity?,neutral,Antonin_Scalia/ORAL_ARGUMENT__NOVEMBER_03_2008_1266-994_1275-449.wav
Antonin Scalia,"Countries can make it a crime -- in fact I think Italy does, to kill an Italian citizen abroad, and that person can be tried for that crime in Italy.",neutral,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_11_2011_3508-706_3521-75.wav
Antonin Scalia,He is prevented a petition for a redress of grievances?,skeptical,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_21_2014_227-898_231-916.wav
Antonin Scalia,"No, even if you don't... don't establish thresholds by reason of the guideline, you are establishing thresholds upon judicial review, guidelines or not.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__FEBRUARY_20_2007_1318-176_1329-884.wav
Antonin Scalia,"And we had a case some years ago in which the issue was whether the Washington police could enter buses arriving from -- from the south and -- and randomly ask passengers, do you mind if we look in your luggage?",neutral,Antonin_Scalia/ORAL_ARGUMENT__JANUARY_12_2011_1988-616_2010-029.wav
Antonin Scalia,"I thought it cited an earlier Louisiana Supreme Court case which made it very clear that it was following the Federal rule as a matter of discretion and not because -- not because it had to, and it could in a later opinion decide not to follow Federal law.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__OCTOBER_13_2015_827-03_846-15.wav
Antonin Scalia,"I thought and I had expected you to... to respond to Justice Souter's question this way, his question about how come putting poison in... in the wetlands is bad, but it's okay to put it in the tributary.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__FEBRUARY_21_2006_592-332_606-271.wav
Antonin Scalia,"But you -- you -- you think the result would be a -- the same if we could develop a machine that you put the bullet in and -- and -- and -- that's been fired from this gun, and the murder bullet, and the machine goes, blah, blah, blah, and it spits out, you know, 99 percent, 99.9 percent match, that would be okay?",skeptical,Antonin_Scalia/ORAL_ARGUMENT__MARCH_02_2011_3471-878_3489-793.wav
Antonin Scalia,"If that was the test, then indeed the fact that he had checked with his superiors and all that good stuff would have some relevance.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__DECEMBER_05_2011_1479-703_1486-976.wav
Antonin Scalia,"Where that is the case, it is a reasonable assumption, call it a presumption if you like, that any promise to pay those benefits continues after the termination of the -- of the union contract.",neutral,Antonin_Scalia/ORAL_ARGUMENT__NOVEMBER_10_2014_541-895_558-356.wav
Antonin Scalia,"You say """"licensed to do business in"""" so many States.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__DECEMBER_08_2010_647-767_650-901.wav
Antonin Scalia,"The representation was made in the prospectus issued by the Fund, not by JCM.",skeptical,Antonin_Scalia/ORAL_ARGUMENT__DECEMBER_07_2010_1877-153_1883-259.wav
