speaker,text,labels,wav.file
Elena Kagan,We did this under the INA. Is that facially legitimate?,skeptical,Elena_Kagan/ORAL_ARGUMENT__FEBRUARY_23_2015_1163-97_1167-36.wav
Elena Kagan,"So why isn't that a statement of foreign policy as to recognition that Jerusalem is the capital of Israel as opposed to what you are characterizing it as, which is a sort of freedom of sort of choice provision?",skeptical,Elena_Kagan/ORAL_ARGUMENT__NOVEMBER_07_2011_1202-319_1218-096.wav
Elena Kagan,"What counts as reasonable? What counts as reasonable is not just the hourly rate, but all the things I've put you through to get the hourly rate.",skeptical,Elena_Kagan/ORAL_ARGUMENT__FEBRUARY_25_2015_2452-315_2460-34.wav
Elena Kagan,"Mr. Russell, how would you make the argument, and again with Justice Alito, sort of putting these waiver questions aside for a second, a German corporation incorporated in Germany, headquartered in Germany, 2.4 percent of its sales are in California.",skeptical,Elena_Kagan/ORAL_ARGUMENT__OCTOBER_15_2013_3008-843_3025-928.wav
Elena Kagan,"If we could start all over again, forget all the history that you just said, if we could start all over again, you, I think, just agreed that we would use ordinary contract principles; is that right?",neutral,Elena_Kagan/ORAL_ARGUMENT__NOVEMBER_10_2014_193-487_208-08.wav
Elena Kagan,"And I'll just give you a couple of examples. The FCC put out rules just this past year, and it says -- with respect to some particular matters, the FCC rules say, the bureau will not bring an enforcement action against a requesting party, a requesting party meaning somebody who requested an opinion, with respect to any action taken in good faith reliance upon an advisory opinion if all of the relevant facts were fully, completely, and accurately presented to the bureau. Now, there's another that I just came across.",neutral,Elena_Kagan/ORAL_ARGUMENT__MARCH_30_2016_1793-84_1828-055.wav
Elena Kagan,"Well, I guess this goes back to Justice Alito's question, but suppose the judge says to himself, even if the response comes in, yes, relations are terrible because the client wants the lawyers to -- to investigate a particular thing and the lawyers don't want to investigate that thing, the judge knows, it doesn't make a difference either way, because he is ready to issue his opinion.",neutral,Elena_Kagan/ORAL_ARGUMENT__DECEMBER_06_2011_2149-518_2173-485.wav
Elena Kagan,"Mr. Gupta, AT&T says that nobody would ever choose class arbitration; it's the worst of both worlds.",neutral,Elena_Kagan/ORAL_ARGUMENT__NOVEMBER_09_2010_2706-586_2713-866.wav
Elena Kagan,Quite -- quite right. But I'm -- I'm hypothesizing a case in which the jury finds that death-eligibility marker.,skeptical,Elena_Kagan/ORAL_ARGUMENT__OCTOBER_13_2015_2055-17_2062-8.wav
Elena Kagan,"Well, that is your best case, but, you know, there are quite a number of cases where we've really held when a Federal law permits something, typically, a State can do more if it wants to.",skeptical,Elena_Kagan/ORAL_ARGUMENT__MARCH_19_2013_907-328_917-986.wav
Elena Kagan,"And we reformulated in a way which said that what we wanted to talk about was whether a district court at a class certification stage has to conduct a Daubert inquiry, in other words has to decide on the admissibility of expert testimony relating to class-wide damages.",neutral,Elena_Kagan/ORAL_ARGUMENT__NOVEMBER_05_2012_1056-043_1074-941.wav
Elena Kagan,"And one holding was this is not a violation of Fourth Amendment law in the first instance, and the other holding was this is a violation of Fourth Amendment law, but the exclusionary rule operates and so the -- the good-faith exception to the exclusionary rule operates and so the evidence comes in.",neutral,Elena_Kagan/ORAL_ARGUMENT__OCTOBER_06_2014_1252-638_1271-016.wav
Elena Kagan,"How is it apparent that a particular veteran's business can perform a particular contract? I mean, what in the database shows you, yes, this veteran's small business is capable of performing this contract in a reasonably effective way?",skeptical,Elena_Kagan/ORAL_ARGUMENT__FEBRUARY_22_2016_482-41_496-765.wav
Elena Kagan,"General, there -- there may be some real differences between the pretrial context and the presentencing context, but one which seems quite similar is the potential of delay to impair the defense. So I guess I would like you to address that, because, you know, as the Petitioners point out, in most cases these days, most of the actual adjudication of contested issues goes on in sentencing rather than at the trial stage, given that we don't have very many trials anymore. And certainly Barker and certainly Doggett made it very clear that this was an important interest in thinking about the speedy trial right.",neutral,Elena_Kagan/ORAL_ARGUMENT__MARCH_28_2016_1426-04_1466-18.wav
Elena Kagan,"Well, Mr. Feigin, they have that wide scope because of the actual malice standard, that somebody needs to show that there was actual knowledge of falsity or reckless disregard as to falsity.",skeptical,Elena_Kagan/ORAL_ARGUMENT__DECEMBER_09_2013_1616-599_1627-557.wav
Elena Kagan,That -- whether equitable tolling is available or is unavailable is -- is not itself a jurisdictional question.,skeptical,Elena_Kagan/ORAL_ARGUMENT__APRIL_29_2015_2027-915_2035-04.wav
Elena Kagan,"And third, I think history and tradition have a great role in -- in the question that you are answering, because what -- the history and tradition of SEC regulation of the financial industry in general is -- is -- in -- in some part through the SROs, the self-regulatory organizations.",neutral,Elena_Kagan/ORAL_ARGUMENT__DECEMBER_07_2009_1921-683_1940-83.wav
Elena Kagan,"But do you think -- do you think that that's what it would do, Mr. Bursch, that if one allowed same-sex marriage, one would be announcing to the world that marriage and children have nothing to do with each other?",skeptical,Elena_Kagan/ORAL_ARGUMENT__APRIL_28_2015_PART_1_2943-68_2954-445.wav
Elena Kagan,"I will -- I will make a lot of money selling this patented product, and if somebody calls me on it, I'll go hire myself a lawyer, and that lawyer will come up with some kind of argument about why the patent is not valid after all.",skeptical,Elena_Kagan/ORAL_ARGUMENT__FEBRUARY_23_2016_3041-45_3056-685.wav
Elena Kagan,"Do you have a view, Mr. Smith, as to why it is that this reasonableness inquiry is producing such skewed results as to plaintiffs and defendants? Because as a logical matter, you would think it shouldn't, that -- that there -- there wouldn't be this skew.",neutral,Elena_Kagan/ORAL_ARGUMENT__APRIL_25_2016_2439-11_2453-84.wav
Elena Kagan,All of these things are going to have an effect on -- on the amount that's -- that's being asked for.,skeptical,Elena_Kagan/ORAL_ARGUMENT__JANUARY_07_2013_893-335_902-358.wav
Elena Kagan,But I take it that the point of the government's submission is only contributed to and now we have to sort of approximate what the contribution was.,neutral,Elena_Kagan/ORAL_ARGUMENT__JANUARY_22_2014_2673-052_2681-402.wav
Elena Kagan,"It would be harmless. So if you -- for whatever reason, right or wrong -- if you take that harmlessness determination out of the picture, if you say that that was an unreasonable application of law, all right, we're left with essentially a vacuum; right? And so what happens? What does the court do where there's been no finding as to a Bat -- Batson violation? And you're saying that it should kind of make up a reason why there might not have been a Batson violation and -- and go with that.",neutral,Elena_Kagan/ORAL_ARGUMENT__MARCH_03_2015_145-9_183-595.wav
Elena Kagan,"Mr. Gannon, do you think that you can commit tax evasion without committing either fraud or deceit, and are there cases that show that?",neutral,Elena_Kagan/ORAL_ARGUMENT__NOVEMBER_07_2011_1364-137_1373-576.wav
