speaker,text,labels,wav.file
"John G. Roberts, Jr.","To the extent it's not, it depends on the views of the two parties negotiating and I thought we established that that is entirely subject to manipulation.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__JANUARY_08_2013_2219-909_2227-996.wav
"John G. Roberts, Jr.","Well, except -- well, you are just kind of blinking over the Savings Clause -- except through licensing and similar laws.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__DECEMBER_08_2010_3607-797_3614-717.wav
"John G. Roberts, Jr.","Well, I thought -- I thought this was what the case was all about: Whether this is -- the stream of commerce is sufficient to add a basis on top of the plaintiff's residence.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__JANUARY_11_2011_2540-782_2550-555.wav
"John G. Roberts, Jr.","So the fact that you have examples where you might conclude, no, they didn't mean to do that, doesn't seem to categorically suggest that you prevail with respect to another one of the powers that are granted.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__NOVEMBER_26_2012_902-404_911-377.wav
"John G. Roberts, Jr.","If you don't have the requirement of at least some corroboration, then all you have in every case is a completely self-serving assertion: I wouldn't have pled guilty, you know, if I had known this or I had known that.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__OCTOBER_08_2013_2871-68_2884-321.wav
"John G. Roberts, Jr.","And to the extent that the Convention was designed to deter that kind of kidnapping, it adopted a -- a fairly strict rule.",neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__DECEMBER_11_2013_1850-028_1863-461.wav
"John G. Roberts, Jr.","So you would be happy with a system that said, no, you don't have to raise it in collateral review, you have to raise it on direct appeal, which is very unworkable, because if you are arguing ineffective assistance of counsel in a direct proceeding, presumably it's usually the same counsel; he's not likely to bring the claim.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__OCTOBER_04_2011_1276-826_1296-394.wav
"John G. Roberts, Jr.","If we look at this and say, maybe a jury would come out 10 to 2 in favor of acquittal, if we think that would be reasonable, then you lose.",neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__JANUARY_11_2006_1392-081_1400-807.wav
"John G. Roberts, Jr.",I suppose it depends on -- or maybe not -- how quickly it all happens.,neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__DECEMBER_02_2009_1640-802_1644-754.wav
"John G. Roberts, Jr.","Thank you, Mr. Stewart.",,John_G_Roberts_Jr/ORAL_ARGUMENT__FEBRUARY_26_2008_2569-949_2587-828.wav
"John G. Roberts, Jr.","And you are saying that even if they didn't pay the 2 points, they would still get a rate of 8 percent?",neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__FEBRUARY_21_2012_1432-855_1439-175.wav
"John G. Roberts, Jr.",You don't -- you don't think there's authority for the proposition they can do it?,neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__MARCH_25_2009_1810-131_1813-416.wav
"John G. Roberts, Jr.","One reason that I in fact don't like the answer is be -- because what the agent is now going to have to factor, in addition to the hostility of the -- the views, the touching of the Vice President, the lying about it, the wandering around with the bag -- is in the back of his mind -- you know, if I'm wrong, I may be held personally liable in damages for taking some action that some jury somewhere is going to say is based on retaliation rather than my obligation to protect the Vice President.",neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__MARCH_21_2012_3199-574_3231-046.wav
"John G. Roberts, Jr.",So if 1983 claim would not establish innocence but would still be covered by Heck.,neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__OCTOBER_13_2010_752-625_767-134.wav
"John G. Roberts, Jr.","I appreciate all those points, but counting -- cutting, perhaps, the other way is that it's not a real adversarial system before you get to that stage.",neutral,John_G_Roberts_Jr/ORAL_ARGUMENT__DECEMBER_06_2010_870-114_878-908.wav
"John G. Roberts, Jr.","The current system, the way the anti-aggregation system works, is he's got to choose.",skeptical,John_G_Roberts_Jr/ORAL_ARGUMENT__OCTOBER_08_2013_1759-515_1764-801.wav
