speaker,text,labels,wav.file
Ruth Bader Ginsburg,"They want to encourage the father/child relationship, therefore, they gave this 1 year is enough for the -- for the father.",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__NOVEMBER_10_2010_2257-29_2267-598.wav
Ruth Bader Ginsburg,"What -- what point -- when Korenchuk takes him into -- takes Staub into Buck's office, according to his testimony, which the jury could credit, he wasn't asked a thing.",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__NOVEMBER_02_2010_1887-798_1906-867.wav
Ruth Bader Ginsburg,Or are you drawing the line at homicide?,neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__NOVEMBER_09_2009_36-606_39-208.wav
Ruth Bader Ginsburg,"The agency -- the agency is engaged in that, in it right now, and that's another facet of this case, the potential for conflict.",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__APRIL_19_2011_2628-326_2637-332.wav
Ruth Bader Ginsburg,"Why do you pick the date that the Fair Sentencing Act went into effect, if it -- if what -- if the guidelines are a 90-day period, that the Commission came out with its new guidelines on November 1st, and some time after August 3, which was when the Sentencing Act -- so on -- on your theory, why isn't the right date the date that the Sentencing Guidelines went into effect?",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__APRIL_17_2012_707-12_740-293.wav
Ruth Bader Ginsburg,The Government as I understand it now has a proposed regulation that would align the standards with the two programs.,neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__NOVEMBER_01_2006_1110-964_1123-483.wav
Ruth Bader Ginsburg,"So, in that sense I understood the Solicitor General to be telling us that case is not before the Court today.",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__MARCH_26_2013_4567-893_4580-7.wav
Ruth Bader Ginsburg,"Now, why isn't the forum non conveniens doctrine as applied to foreign nations a combination of 1404 and a 1406, and if it includes 1406 then you don't need your personal jurisdiction, you don't need venue, you just transfer it to a place where those conditions exist?",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__JANUARY_09_2007_2214-557_2238-656.wav
Ruth Bader Ginsburg,"But there was in this record, was there not, a submission by the adviser comparing what mutual funds this fund was charged, what institutional funds were charged, but explaining the differential in terms of the services provided, that more services were provided to the fund and less services were provided to the institutional investors.",skeptical,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__NOVEMBER_02_2009_341-563_371-815.wav
Ruth Bader Ginsburg,"But we have to judge removal at the time removal is made, and at that time, there is no determination of class.",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__JANUARY_07_2013_2394-023_2403-796.wav
Ruth Bader Ginsburg,"It seems to me it's -- it's all one package, that it -- the application, and there's an answer to the application, and then there's a reply. It -- why don't those three things go together?",neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__FEBRUARY_25_2015_1730-12_1745-175.wav
Ruth Bader Ginsburg,The corporation is rich with earnings and profits.,neutral,Ruth_Bader_Ginsburg/ORAL_ARGUMENT__JANUARY_08_2008_2615-466_2619-012.wav
