speaker,text,labels,wav.file
Stephen G. Breyer,"They live in a grain elevator, a nicely refurbished grain elevator, in Peoria for a year.",neutral,Stephen_G_Breyer/ORAL_ARGUMENT__DECEMBER_11_2013_2177-663_2184-115.wav
Stephen G. Breyer,"It is -- the very first part of the first part is the profits, the average profit over the four-year period.",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__FEBRUARY_20_2013_2781-208_2791-666.wav
Stephen G. Breyer,"That's then picked up in the Senate, and the Senate, which is Levin, is trying to do precisely what Conyers was trying to do in the House, which we know from the fact that he said it.",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__JANUARY_12_2009_2390-688_2402-662.wav
Stephen G. Breyer,"The point of the stock market presumption is to say: Smith, you're a typical plaintiff and this presumption is going to help you by the following.",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__APRIL_25_2011_1930-79_1940-563.wav
Stephen G. Breyer,How does trust law keep that kind of conflict?,skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__APRIL_23_2008_2136-885_2140-337.wav
Stephen G. Breyer,"But, now, still within that, the Government agency has to have some authority to discipline a person, even there, because, after all, he might have been accusing these sheriffs of things that were really not justified by what they, in fact, did.",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__OCTOBER_12_2005_3245-625_3263-769.wav
Stephen G. Breyer,"Now, have they developed -- as you look across those cases, are there some States or places that have developed reasonably tough standards in respect to what counts as ineffective assistance, and in respect to whether it made a difference that would help to alleviate the concern that this would turn into a great mess?",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__OCTOBER_31_2011_2466-997_2489-413.wav
Stephen G. Breyer,And what Congress tried to do in (a) is abrogate sovereign immunity insofar as it is constitutional to do so.,skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__OCTOBER_31_2005_2513-386_2521-951.wav
Stephen G. Breyer,"Moreover, this is not in the Internal Revenue Code """"but for purposes of collection"""".",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__MARCH_26_2012_1067-356_1073-927.wav
Stephen G. Breyer,"The thrust of my question is that if, in fact, this evidence from the mother comes in under State law, it comes in under State law, because... I have the cite; you know the--",skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__DECEMBER_07_2005_480-9_493-028.wav
Stephen G. Breyer,And you're saying that in the House there were some people who didn't want it to extend to beyond 17 States?,skeptical,Stephen_G_Breyer/ORAL_ARGUMENT__NOVEMBER_10_2008_2109-522_2116-861.wav
